total_files,burst_files,total_size,burst_size,total_duration,burst_config_duration,burst_current_duration,burst_pause,burst_config_rate,burst_current_rate,algorithm
12,12,1750578,1750578,2592.477,0,10.013,0,0.0,675.253,AES-CTR
12,12,1757250,1757250,2602.484,0,10.005,0,0.0,675.220,AES-CTR
12,12,1764402,1764402,2612.501,0,10.015,0,0.0,675.369,AES-CTR
12,12,1772690,1772690,2622.511,0,10.008,0,0.0,675.951,AES-CTR
12,12,1779938,1779938,2632.534,0,10.022,0,0.0,676.131,AES-CTR
12,12,1786466,1786466,2642.556,0,10.020,0,0.0,676.037,AES-CTR
12,12,1793282,1793282,2652.571,0,10.012,0,0.0,676.054,AES-CTR
12,12,1799874,1799874,2662.595,0,10.023,0,0.0,675.985,AES-CTR
12,12,1806514,1806514,2672.635,0,10.039,0,0.0,675.930,AES-CTR
12,12,1813138,1813138,2682.639,0,10.003,0,0.0,675.879,AES-CTR
12,12,1819650,1819650,2692.643,0,10.002,0,0.0,675.786,AES-CTR
12,12,1826770,1826770,2702.649,0,10.004,0,0.0,675.918,AES-CTR
12,12,1833378,1833378,2712.680,0,10.030,0,0.0,675.855,AES-CTR
12,12,1840034,1840034,2722.691,0,10.000,0,0.0,675.814,AES-CTR
12,12,1846674,1846674,2732.701,0,10.007,0,0.0,675.769,AES-CTR
12,12,1852994,1852994,2742.717,0,10.014,0,0.0,675.605,AES-CTR
12,12,1859922,1859922,2752.719,0,10.000,0,0.0,675.667,AES-CTR
12,12,1866690,1866690,2762.727,0,10.007,0,0.0,675.669,AES-CTR
12,12,1873698,1873698,2772.739,0,10.010,0,0.0,675.757,AES-CTR
12,12,1880322,1880322,2782.742,0,10.002,0,0.0,675.708,AES-CTR
12,12,1887042,1887042,2792.776,0,10.033,0,0.0,675.687,AES-CTR
12,12,1894050,1894050,2802.784,0,10.006,0,0.0,675.774,AES-CTR
12,12,1896130,1896130,2813.066,0,10.280,0,0.0,674.044,AES-CTR
12,12,1896690,1896690,2823.120,0,10.052,0,0.0,671.842,AES-CTR
12,12,1897538,1897538,2833.967,0,10.846,0,0.0,669.569,AES-CTR
12,12,1897858,1897858,2844.049,0,10.080,0,0.0,667.309,AES-CTR
12,12,1904578,1904578,2854.054,0,10.004,0,0.0,667.324,AES-CTR
12,12,1910962,1910962,2864.079,0,10.023,0,0.0,667.217,AES-CTR
12,12,1917874,1917874,2874.088,0,10.006,0,0.0,667.298,AES-CTR
12,12,1924578,1924578,2884.095,0,10.005,0,0.0,667.308,AES-CTR
12,12,1931234,1931234,2894.097,0,10.002,0,0.0,667.301,AES-CTR
12,12,1937922,1937922,2904.101,0,10.001,0,0.0,667.305,AES-CTR
12,12,1944338,1944338,2914.103,0,10.001,0,0.0,667.217,AES-CTR
12,12,1950978,1950978,2924.146,0,10.019,0,0.0,667.196,AES-CTR
12,12,1957650,1957650,2934.167,0,10.018,0,0.0,667.191,AES-CTR
12,12,1964690,1964690,2944.171,0,10.003,0,0.0,667.315,AES-CTR
12,12,1971090,1971090,2954.194,0,10.020,0,0.0,667.218,AES-CTR
12,12,1977522,1977522,2964.211,0,10.015,0,0.0,667.133,AES-CTR
12,12,1984194,1984194,2974.230,0,10.016,0,0.0,667.129,AES-CTR
12,12,1990690,1990690,2984.235,0,10.003,0,0.0,667.069,AES-CTR
12,12,1997474,1997474,2994.238,0,10.001,0,0.0,667.106,AES-CTR
12,12,2003954,2003954,3004.252,0,10.013,0,0.0,667.039,AES-CTR
12,12,2010402,2010402,3014.262,0,10.009,0,0.0,666.963,AES-CTR
12,12,2017058,2017058,3024.287,0,10.024,0,0.0,666.953,AES-CTR
12,12,2023330,2023330,3034.296,0,10.006,0,0.0,666.820,AES-CTR
12,12,2029810,2029810,3044.304,0,10.007,0,0.0,666.757,AES-CTR
12,12,2036322,2036322,3054.307,0,10.001,0,0.0,666.705,AES-CTR
12,12,2042786,2042786,3064.311,0,10.003,0,0.0,666.638,AES-CTR
12,12,2049810,2049810,3074.321,0,10.007,0,0.0,666.752,AES-CTR
12,12,2056402,2056402,3084.347,0,10.023,0,0.0,666.722,AES-CTR
12,12,2062866,2062866,3094.369,0,10.020,0,0.0,666.652,AES-CTR
12,12,2068530,2068530,3104.388,0,10.016,0,0.0,666.325,AES-CTR
12,12,2075026,2075026,3114.399,0,10.009,0,0.0,666.269,AES-CTR
12,12,2081474,2081474,3124.419,0,10.018,0,0.0,666.196,AES-CTR
12,12,2087826,2087826,3134.447,0,10.026,0,0.0,666.091,AES-CTR
12,12,2094466,2094466,3144.461,0,10.012,0,0.0,666.081,AES-CTR
12,12,2100818,2100818,3154.466,0,10.002,0,0.0,665.982,AES-CTR
12,12,2107458,2107458,3164.480,0,10.013,0,0.0,665.973,AES-CTR
12,12,2114002,2114002,3174.493,0,10.011,0,0.0,665.934,AES-CTR
